Site,ll,Fa
MGR,0.063545,0.510742188
MGR,0.05959,0.575744629
MGR,0.04924,0.688016411
MGR,0.11355,0.361328125
MGR,0.064705,0.522460938
MGR,0.066215,0.462890625
MGR,0.04898,0.687261939
MGR,0.03784,0.767426502
MGR,0.07406,0.714099789
MGR,0.053855,0.647167206
MGR,0.05959,0.575744629
MGR,0.058815,0.585622307
MGR,0.055195,0.719415753
MGR,0.04704,0.703371254
MGR,0.0461,0.728773272
MGR,0.04109,0.716109702
MGR,0.0512,0.62701416
MGR,0.051205,0.595632851
MGR,0.07755,0.742370605
MGR,0.04042,0.745353397
MGR,0.03981,0.78053388
MGR,0.04923,0.657905832
MGR,0.03911,0.738316209
MGR,0.04535,0.709828882
MGR,0.049225,0.663847148
MGR,0.075355,0.765422327
MGR,0.05172,0.670655787
MGR,0.04942,0.632719398
MGR,0.05597,0.674764633
MGR,0.039465,0.763985528
MGR,0.037055,0.778232854
MGR,0.078265,0.659733176
MGR,0.05699,0.672638136
MGR,0.03636,0.774919532
MGR,0.0594,0.639783113
MGR,0.08152,0.62207599
MGR,0.037055,0.778232854
MGR,0.03436,0.801699829
MGR,0.048015,0.64700681
MGR,0.03653,0.774919532
MGR,0.039605,0.826648645
MGR,0.0333,0.819404182
MGR,0.040735,0.765130248
MGR,0.03437,0.814366047
MGR,0.033415,0.820212253
MGR,0.040175,0.794690846
MGR,0.037415,0.860864929
MGR,0.034885,0.869696117
MGR,0.038085,0.841015097
MGR,0.027115,0.891546643
MGR,0.041095,0.843667356
MGR,0.05544,0.585998535
MGR,0.03609,0.80516974
MGR,0.038585,0.772617741
MGR,0.046205,0.811336637
MGR,0.04888,0.766498551
MGR,0.038085,0.841015097
MGR,0.03489,0.806487339
MGR,0.03019,0.869939369
MGR,0.03394,0.816139801
MGR,0.029525,0.864139687
MGR,0.061565,0.878061501
MGR,0.0451,0.711336821
MGR,0.03389,0.799383662
MGR,0.0468,0.844088437
MGR,0.043145,0.7966568
MGR,0.03918,0.843518205
MGR,0.048385,0.819348106
MGR,0.045025,0.778968203
MGR,0.038675,0.840618459
MGR,0.060595,0.856409503
MGR,0.06221,0.84983324
MGR,0.035935,0.831801642
MGR,0.026905,0.903368081
MGR,0.038155,0.813577012
MGR,0.02987,0.85213567
MGR,0.03229,0.900572639
MGR,0.026965,0.893325323
MGR,0.02842,0.907078449
MGR,0.03487,0.806993287
MGR,0.048385,0.819348106
MGR,0.0317,0.905299101
MGR,0.043145,0.7966568
MGR,0.056315,0.935901819
MGR,0.03472,0.83297384
MGR,0.035885,0.89429076
MGR,0.03637,0.819101926
MGR,0.050265,0.589935303
MGR,0.059595,0.592346191
MGR,0.09032,0.548828125
MGR,0.05116,0.604457855
MGR,0.04432,0.694616254
MGR,0.049495,0.663455963
MGR,0.04977,0.677459717
MGR,0.051205,0.595632851
MGR,0.04074,0.722706689
MGR,0.05146,0.619241068
MGR,0.06238,0.625091553
MGR,0.037215,0.771391462
MGR,0.045775,0.74053004
MGR,0.04977,0.677459717
MGR,0.063005,0.60997051
TPB,0.066215,0.462890625
TPB,0.044115,0.743892998
TPB,0.04074,0.722706689
TPB,0.04898,0.687261939
TPB,0.05597,0.674764633
TPB,0.056345,0.674764633
TPB,0.07755,0.742370605
TPB,0.048015,0.64700681
TPB,0.038635,0.790620195
TPB,0.04726,0.658952892
TPB,0.078375,0.659733176
TPB,0.075355,0.765422327
TPB,0.063005,0.60997051
TPB,0.097365,0.555648804
TPB,0.05172,0.670655787
TPB,0.04074,0.722706689
TPB,0.04942,0.632719398
TPB,0.0501,0.7190184
TPB,0.041895,0.760766311
TPB,0.050115,0.634570834
TPB,0.04448,0.745109404
TPB,0.03504,0.801699829
TPB,0.048015,0.64700681
TPB,0.040955,0.755252117
TPB,0.038635,0.790620195
TPB,0.042505,0.744097646
TPB,0.0461,0.728773272
TPB,0.05267,0.716743624
TPB,0.063005,0.60997051
TPB,0.05003,0.612518769
TPB,0.03981,0.78053388
TPB,0.07955,0.667961121
TPB,0.041895,0.760766311
TPB,0.038885,0.759902458
TPB,0.04995,0.677266626
TPB,0.03588,0.825797547
TPB,0.034875,0.818646093
TPB,0.046415,0.642604704
TPB,0.037905,0.790292525
TPB,0.036635,0.802800501
TPB,0.038635,0.790620195
TPB,0.03444,0.800462882
TPB,0.038035,0.754525258
TPB,0.04371,0.704877448
TPB,0.092205,0.580316544
TPB,0.05172,0.670655787
TPB,0.044115,0.743892998
TPB,0.048615,0.664871558
TPB,0.05597,0.674764633
TPB,0.05667,0.759195482
TPB,0.039465,0.763985528
TPB,0.03981,0.78053388
TPB,0.07955,0.667961121
TPB,0.04448,0.745109404
TPB,0.034595,0.815222078
TPB,0.036635,0.802800501
TPB,0.04705,0.693766788
TPB,0.04494,0.711621998
TPB,0.033355,0.861353133
TPB,0.040175,0.794690846
TPB,0.03389,0.799383662
TPB,0.03639,0.793088161
TPB,0.04119,0.711284919
TPB,0.036245,0.790955509
TPB,0.0497,0.757625912
TPB,0.068895,0.801174473
TPB,0.047325,0.733533966
TPB,0.04888,0.766498551
TPB,0.034885,0.869696117
WSB,0.038945,0.806553006
WSB,0.039575,0.75287427
WSB,0.05172,0.670655787
WSB,0.043395,0.801125954
WSB,0.0475,0.658992767
WSB,0.03609,0.80516974
WSB,0.040575,0.77296328
WSB,0.038585,0.772617741
WSB,0.048015,0.64700681
WSB,0.041575,0.730172871
WSB,0.04494,0.711621998
WSB,0.042505,0.744097646
WSB,0.04912,0.798456457
WSB,0.0333,0.819404182
WSB,0.035195,0.792920891
WSB,0.040735,0.765130248
WSB,0.03389,0.799383662
WSB,0.03639,0.793088161
WSB,0.033825,0.804653811
WSB,0.068895,0.801174473
WSB,0.035175,0.869696117
WSB,0.040035,0.817023853
WSB,0.030125,0.853248779
WSB,0.03209,0.821914555
WSB,0.068475,0.83008948
WSB,0.040055,0.85382153
WSB,0.029345,0.860645986
WSB,0.05172,0.670655787
WSB,0.0475,0.658992767
WSB,0.062005,0.527975559
WSB,0.04349,0.769674978
WSB,0.04494,0.711621998
WSB,0.04487,0.776569551
WSB,0.039605,0.826648645
WSB,0.036245,0.790955509
WSB,0.068895,0.801174473
WSB,0.039305,0.794772543
WSB,0.043145,0.7966568
WSB,0.030845,0.881745965
WSB,0.0389,0.806553006
WSB,0.03118,0.85154241
WSB,0.056785,0.742374415
WSB,0.034035,0.82316137
WSB,0.043425,0.847698697
WSB,0.045225,0.860497847
WSB,0.026905,0.903368081
WSB,0.046065,0.834288648
WSB,0.036415,0.801832422
WSB,0.038155,0.813577012
WSB,0.031005,0.85961563
