FemaleID,MaleID,pairID,Year,FemaleAge,MaleAge,Fpair,Site,Fledged,Survived,Fmale,Ffemale,ll,Fa
41448,43210,B41448B43210,1991-92,4,3,0.2578125,TPB,2,1,0.4375,0.25,0.050265,0.589935303
41460,41484,B41460B41484,1991-92,4,3,0.3046875,TPB,1,0,0.3125,0.25,0.063545,0.510742188
41468,41470,B41468B41470,1991-92,4,4,0.33984375,MGR,1,1,0.28125,0.375,0.059595,0.592346191
41485,41466,B41485B41466,1991-92,3,4,0.46875,WSB,1,1,0.3125,0.3125,0.09032,0.548828125
41497,43218,B41497B43218,1991-92,3,3,0.2890625,WSB,1,1,0.3046875,0.28125,0.05116,0.604457855
41500,45247,B41500B45247,1991-92,3,2,0.30859375,WSB,1,1,0.27734375,0.318359375,0.04432,0.694616254
43207,41443,B43207B41443,1991-92,3,4,0.28515625,WSB,2,2,0.4375,0.34375,0.0512,0.62701416
43224,43203,B43224B43203,1991-92,3,3,0.322265625,WSB,2,1,0.359375,0.28125,0.049495,0.663455963
43225,41489,B43225B41489,1991-92,3,3,0.33203125,WSB,2,1,0.4375,0.25,0.04977,0.677459717
43227,43236,B43227B43236,1991-92,3,3,0.29296875,TPB,3,1,0.25,0.296875,0.051205,0.595632851
43234,43217,B43234B43217,1991-92,3,3,0.30859375,WSB,4,4,0.28125,0.3359375,0.043425,0.699720129
43237,43215,B43237B43215,1991-92,3,3,0.326171875,MGR,2,2,0.265625,0.3046875,0.058555,0.570886612
43238,41481,B43238B41481,1991-92,3,3,0.33203125,TPB,1,0,0.34375,0.28125,0.05959,0.575744629
43241,41499,B43241B41499,1991-92,3,3,0.306640625,WSB,2,2,0.318359375,0.3125,0.05113,0.633473869
43242,41487,B43242B41487,1991-92,3,3,0.27734375,WSB,3,3,0.265625,0.3125,0.0579,0.529144287
43248,66107,B43248B66107,1991-92,2,2,0.346679688,TPB,2,0,0.318359375,0.265625,0.04924,0.688016411
