specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specelt_no,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no
18740,spm,,408082,0,28366,USNM 4934,holotype,,right,scapula,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18741,spm,,408082,0,28366,USNM 4934,holotype,,both,humerus,,1,table,,mean of left and right,Stegosaurus stenops,species,56491,155.7,145,12769
18742,spm,,408082,0,28366,USNM 4934,holotype,,right,ulna,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18743,spm,,408082,0,28366,USNM 4934,holotype,,right,radius,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18744,spm,,408082,0,28366,USNM 4934,holotype,,right,femur,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18745,spm,,408082,0,28366,USNM 4934,holotype,,right,tibia,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18746,spm,,408082,0,28366,USNM 4934,holotype,,right,fibula,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18747,spm,,408082,0,28366,USNM 4929,,,left,scapula,,1,table,,,Stegosaurus stenops,species,56491,155.7,145,12769
18748,spm,,408082,0,28366,USNM 4929,,,both,humerus,,1,table,,mean of left and right,Stegosaurus stenops,species,56491,155.7,145,12769
18911,spm,,408856,0,39370,YPM 1853,holotype,,,humerus,,1,table,,,Stegosaurus ungulatus,species,52985,157.3,145,7813
18912,spm,,408856,0,39370,YPM 1853,holotype,,,tibia,,1,table,,includes astragalus,Stegosaurus ungulatus,species,52985,157.3,145,7813
72462,spm,,800075,0,87089,ML433,holotype,,left,scapula,,1,table,,,Miragaia longicollum,species,142525,155.7,145,29300
72463,spm,,800075,0,87089,ML433,holotype,,left,humerus,,1,table,,width = Diaphyseal minimum perimeter,Miragaia longicollum,species,142525,155.7,145,29300
72464,spm,,800075,0,87089,ML433,holotype,,left,ulna,,1,table,,width = Diaphyseal minimum perimeter,Miragaia longicollum,species,142525,155.7,145,29300
72465,spm,,800075,0,87089,ML433,holotype,,left,radius,,1,table,,width = Diaphyseal minimum perimeter,Miragaia longicollum,species,142525,155.7,145,29300
72466,spm,,800075,0,87089,ML433,holotype,,right,radius,,1,table,,width = Diaphyseal minimum perimeter,Miragaia longicollum,species,142525,155.7,145,29300
72467,spm,,800075,0,87089,ML433,holotype,,right,humerus,,1,table,,width = Diaphyseal minimum perimeter,Miragaia longicollum,species,142525,155.7,145,29300
72468,spm,,800075,0,87089,ML433,holotype,,right,ulna,,1,table,,width = Diaphyseal minimum perimeter,Miragaia longicollum,species,142525,155.7,145,29300
78492,spm,,572135,0,60067,CV00206,holotype,,,humerus,,1,table,,,Chungkingosaurus jiangbeiensis,species,56487,163.5,157.3,17258
78493,spm,,572135,0,60067,CV00206,holotype,,,femur,,1,table,,,Chungkingosaurus jiangbeiensis,species,56487,163.5,157.3,17258
78494,spm,,572135,0,60067,CV00206,holotype,,,tibia,,1,table,,,Chungkingosaurus jiangbeiensis,species,56487,163.5,157.3,17258
78495,spm,,572135,0,60067,CV00206,holotype,,,fibula,,1,table,,,Chungkingosaurus jiangbeiensis,species,56487,163.5,157.3,17258
